expID,ligand,base,solvent,cone angle,TEP,calc P shift,pKa,Pauling ionic radii,Hansen-dD,Hansen-dP,Hansen-dH,objectives
198,3,4,2,172.5642436,2217.825997,-8.6556,10.329,133,17.4,13.7,11.3,
199,4,4,2,211.3485433,2210.78491,-35.7969,10.329,133,17.4,13.7,11.3,
200,5,4,2,174.6629756,2218.794147,-5.7884,10.329,133,17.4,13.7,11.3,
201,6,4,2,166.26,2224.63,-9.8472,10.329,133,17.4,13.7,11.3,
202,7,4,2,165.4550225,2228.284751,-7.6658,10.329,133,17.4,13.7,11.3,
203,8,4,2,184.5942422,2234.942905,-10.0173,10.329,133,17.4,13.7,11.3,
204,9,4,2,172.55,2232.06,-76.7384,10.329,133,17.4,13.7,11.3,
205,10,4,2,165.5,2225.59,-10.3996,10.329,133,17.4,13.7,11.3,
206,11,4,2,174.3600174,2210.257593,8.0093,10.329,133,17.4,13.7,11.3,
207,12,4,2,185.3,2206.2,66.1445,10.329,133,17.4,13.7,11.3,
208,13,4,2,171.3953578,2213.980043,-29.2681,10.329,133,17.4,13.7,11.3,
209,14,4,2,120.02,2219.32,-63.3,10.329,133,17.4,13.7,11.3,
210,15,4,2,165.353392,2215.967354,-19.1672,10.329,133,17.4,13.7,11.3,
211,1,5,2,165.87,2223.37,-5.7906,13.997,133,17.4,13.7,11.3,
212,2,5,2,166.8903697,2218.319819,-10.6026,13.997,133,17.4,13.7,11.3,
213,3,5,2,172.5642436,2217.825997,-8.6556,13.997,133,17.4,13.7,11.3,
214,4,5,2,211.3485433,2210.78491,-35.7969,13.997,133,17.4,13.7,11.3,
215,5,5,2,174.6629756,2218.794147,-5.7884,13.997,133,17.4,13.7,11.3,
216,6,5,2,166.26,2224.63,-9.8472,13.997,133,17.4,13.7,11.3,
217,7,5,2,165.4550225,2228.284751,-7.6658,13.997,133,17.4,13.7,11.3,
218,8,5,2,184.5942422,2234.942905,-10.0173,13.997,133,17.4,13.7,11.3,
219,9,5,2,172.55,2232.06,-76.7384,13.997,133,17.4,13.7,11.3,-1.8939687219441697
220,10,5,2,165.5,2225.59,-10.3996,13.997,133,17.4,13.7,11.3,
221,11,5,2,174.3600174,2210.257593,8.0093,13.997,133,17.4,13.7,11.3,
222,12,5,2,185.3,2206.2,66.1445,13.997,133,17.4,13.7,11.3,
223,13,5,2,171.3953578,2213.980043,-29.2681,13.997,133,17.4,13.7,11.3,
224,14,5,2,120.02,2219.32,-63.3,13.997,133,17.4,13.7,11.3,
225,15,5,2,165.353392,2215.967354,-19.1672,13.997,133,17.4,13.7,11.3,
226,1,6,2,165.87,2223.37,-5.7906,12.375,133,17.4,13.7,11.3,
227,2,6,2,166.8903697,2218.319819,-10.6026,12.375,133,17.4,13.7,11.3,
228,3,6,2,172.5642436,2217.825997,-8.6556,12.375,133,17.4,13.7,11.3,
229,4,6,2,211.3485433,2210.78491,-35.7969,12.375,133,17.4,13.7,11.3,
230,5,6,2,174.6629756,2218.794147,-5.7884,12.375,133,17.4,13.7,11.3,
231,6,6,2,166.26,2224.63,-9.8472,12.375,133,17.4,13.7,11.3,
