expID,cone angle,TEP,calc P shift,pKa,Pauling ionic radii,Hansen-dD,Hansen-dP,Hansen-dH
337,165.4425321,2228.123853,-7.3657,13.997,95,15.3,18,6.1
338,184.5942422,2234.942905,-7.6081,13.997,95,15.3,18,6.1
339,172.55,2232.06,-76.6378,13.997,95,15.3,18,6.1
340,165.5,2225.59,-9.3867,13.997,95,15.3,18,6.1
341,174.3600174,2210.257593,8.4693,13.997,95,15.3,18,6.1
342,185.3,2206.2,65.5283,13.997,95,15.3,18,6.1
343,171.3953578,2213.980043,-31.8604,13.997,95,15.3,18,6.1
344,120.02,2219.32,-63.3,13.997,95,15.3,18,6.1
345,165.353392,2215.967354,-18.0838,13.997,95,15.3,18,6.1
346,165.87,2223.37,-5.9813,10.329,133,15.3,18,6.1
347,166.8903697,2218.319819,-11.5167,10.329,133,15.3,18,6.1
348,172.5234877,2217.505928,-9.583,10.329,133,15.3,18,6.1
349,195.29,2213.36,-34.9056,10.329,133,15.3,18,6.1
350,174.6629756,2218.794147,-5.9295,10.329,133,15.3,18,6.1
351,166.26,2224.63,-9.891,10.329,133,15.3,18,6.1
352,165.4425321,2228.123853,-7.3657,10.329,133,15.3,18,6.1
353,184.5942422,2234.942905,-7.6081,10.329,133,15.3,18,6.1
354,172.55,2232.06,-76.6378,10.329,133,15.3,18,6.1
355,165.5,2225.59,-9.3867,10.329,133,15.3,18,6.1
356,174.3600174,2210.257593,8.4693,10.329,133,15.3,18,6.1
357,185.3,2206.2,65.5283,10.329,133,15.3,18,6.1
358,171.3953578,2213.980043,-31.8604,10.329,133,15.3,18,6.1
359,120.02,2219.32,-63.3,10.329,133,15.3,18,6.1
360,165.353392,2215.967354,-18.0838,10.329,133,15.3,18,6.1
361,165.87,2223.37,-5.9813,13.997,133,15.3,18,6.1
362,166.8903697,2218.319819,-11.5167,13.997,133,15.3,18,6.1
363,172.5234877,2217.505928,-9.583,13.997,133,15.3,18,6.1
364,195.29,2213.36,-34.9056,13.997,133,15.3,18,6.1
365,174.6629756,2218.794147,-5.9295,13.997,133,15.3,18,6.1
366,166.26,2224.63,-9.891,13.997,133,15.3,18,6.1
367,165.4425321,2228.123853,-7.3657,13.997,133,15.3,18,6.1
368,184.5942422,2234.942905,-7.6081,13.997,133,15.3,18,6.1
369,172.55,2232.06,-76.6378,13.997,133,15.3,18,6.1
370,165.5,2225.59,-9.3867,13.997,133,15.3,18,6.1
371,174.3600174,2210.257593,8.4693,13.997,133,15.3,18,6.1
372,185.3,2206.2,65.5283,13.997,133,15.3,18,6.1
373,171.3953578,2213.980043,-31.8604,13.997,133,15.3,18,6.1
374,120.02,2219.32,-63.3,13.997,133,15.3,18,6.1
375,165.353392,2215.967354,-18.0838,13.997,133,15.3,18,6.1
376,165.87,2223.37,-5.9813,12.375,133,15.3,18,6.1
377,166.8903697,2218.319819,-11.5167,12.375,133,15.3,18,6.1
378,172.5234877,2217.505928,-9.583,12.375,133,15.3,18,6.1
379,195.29,2213.36,-34.9056,12.375,133,15.3,18,6.1
380,174.6629756,2218.794147,-5.9295,12.375,133,15.3,18,6.1
381,166.26,2224.63,-9.891,12.375,133,15.3,18,6.1
382,165.4425321,2228.123853,-7.3657,12.375,133,15.3,18,6.1
383,184.5942422,2234.942905,-7.6081,12.375,133,15.3,18,6.1
